Generation:	1008	Best fitness:	155.8421768707483	Average fitness:	327.41417687074835	Fitness standard deviation:	51.13132910457149	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1024	Best fitness:	155.8421768707483	Average fitness:	316.47303401360546	Fitness standard deviation:	48.847914864528725	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1040	Best fitness:	155.8421768707483	Average fitness:	327.008462585034	Fitness standard deviation:	46.99767417258702	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1056	Best fitness:	155.8421768707483	Average fitness:	316.8873197278912	Fitness standard deviation:	49.43962819026693	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1072	Best fitness:	155.8421768707483	Average fitness:	329.1718911564626	Fitness standard deviation:	48.493103640978624	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1088	Best fitness:	155.8421768707483	Average fitness:	331.9513197278911	Fitness standard deviation:	44.867934894691615	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1104	Best fitness:	155.8421768707483	Average fitness:	310.84446258503397	Fitness standard deviation:	43.10178133162461	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1120	Best fitness:	155.8421768707483	Average fitness:	317.46846258503416	Fitness standard deviation:	52.65734806254102	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1136	Best fitness:	155.8421768707483	Average fitness:	313.5438911564627	Fitness standard deviation:	44.83630349780119	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
Generation:	1152	Best fitness:	155.8421768707483	Average fitness:	324.28331972789124	Fitness standard deviation:	46.23388920853338	Best genome:	A16	A15	A17	A14	A6	A10	E5	A8	A9	E3	N6	N7	A12	N5	E4	N3	A11	N12	A7	N9	A13	
