Generation:	1168	Best fitness:	125.8421768707483	Average fitness:	276.28074829931967	Fitness standard deviation:	50.85580919198346	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1184	Best fitness:	125.8421768707483	Average fitness:	278.76074829931974	Fitness standard deviation:	63.67387268939519	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1200	Best fitness:	125.8421768707483	Average fitness:	276.8721768707483	Fitness standard deviation:	60.772038061958085	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1216	Best fitness:	125.8421768707483	Average fitness:	276.6593197278912	Fitness standard deviation:	51.616854864689785	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1232	Best fitness:	125.8421768707483	Average fitness:	280.396462585034	Fitness standard deviation:	58.323683991031594	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1248	Best fitness:	125.8421768707483	Average fitness:	282.42074829931977	Fitness standard deviation:	67.84292715756096	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1264	Best fitness:	125.8421768707483	Average fitness:	266.65217687074835	Fitness standard deviation:	59.53247734794574	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1280	Best fitness:	125.8421768707483	Average fitness:	269.10360544217684	Fitness standard deviation:	51.78075229429624	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1296	Best fitness:	125.8421768707483	Average fitness:	263.0178911564626	Fitness standard deviation:	54.0914186675612	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1312	Best fitness:	125.8421768707483	Average fitness:	283.6593197278912	Fitness standard deviation:	48.726638902919525	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1328	Best fitness:	125.8421768707483	Average fitness:	299.3293197278912	Fitness standard deviation:	58.671192023593555	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1344	Best fitness:	125.8421768707483	Average fitness:	265.0321768707483	Fitness standard deviation:	66.82676982546832	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1360	Best fitness:	125.8421768707483	Average fitness:	271.6693197278912	Fitness standard deviation:	65.33270860974397	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1376	Best fitness:	125.8421768707483	Average fitness:	269.55503401360545	Fitness standard deviation:	52.899572526338886	Best genome:	A16	E5	N12	E3	A8	A9	N3	A6	A14	N7	A10	N6	N5	A11	A15	A17	E4	A7	A12	N9	A13	
Generation:	1392	Best fitness:	118.8421768707483	Average fitness:	276.96931972789116	Fitness standard deviation:	52.30957260114334	Best genome:	A16	E5	N12	A6	A14	N7	A10	N6	N5	A11	A15	A17	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1408	Best fitness:	115.8421768707483	Average fitness:	274.68931972789125	Fitness standard deviation:	48.27377221300889	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1424	Best fitness:	115.8421768707483	Average fitness:	262.51646258503405	Fitness standard deviation:	55.09053654055777	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1440	Best fitness:	115.8421768707483	Average fitness:	280.8864625850341	Fitness standard deviation:	53.19542060618929	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1456	Best fitness:	115.8421768707483	Average fitness:	269.35789115646264	Fitness standard deviation:	54.94955644098708	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1472	Best fitness:	115.8421768707483	Average fitness:	251.01646258503405	Fitness standard deviation:	54.64540304059792	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1488	Best fitness:	115.8421768707483	Average fitness:	266.4021768707483	Fitness standard deviation:	72.45490442689304	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1504	Best fitness:	115.8421768707483	Average fitness:	281.6407482993197	Fitness standard deviation:	60.15262457164395	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1520	Best fitness:	115.8421768707483	Average fitness:	274.2350340136055	Fitness standard deviation:	69.52848476615574	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1536	Best fitness:	115.8421768707483	Average fitness:	254.32503401360546	Fitness standard deviation:	60.767794840654844	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1552	Best fitness:	115.8421768707483	Average fitness:	262.4078911564626	Fitness standard deviation:	47.49656709399413	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1568	Best fitness:	115.8421768707483	Average fitness:	272.5393197278912	Fitness standard deviation:	61.975469406558474	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1584	Best fitness:	115.8421768707483	Average fitness:	264.06789115646257	Fitness standard deviation:	60.39119269481306	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1600	Best fitness:	115.8421768707483	Average fitness:	279.4864625850341	Fitness standard deviation:	57.74488684847219	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
Generation:	1616	Best fitness:	115.8421768707483	Average fitness:	279.9393197278912	Fitness standard deviation:	61.46150041003769	Best genome:	A16	E5	N12	A6	N6	N5	A11	A15	A17	A14	N7	A10	E3	A8	A9	N3	E4	A7	A12	N9	A13	
