Generation:	880	Best fitness:	134.67074829931974	Average fitness:	320.2461768707483	Fitness standard deviation:	46.80148053126489	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	896	Best fitness:	134.67074829931974	Average fitness:	311.8564625850341	Fitness standard deviation:	59.57011228419014	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	912	Best fitness:	134.67074829931974	Average fitness:	318.10274829931984	Fitness standard deviation:	50.36495044316888	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	928	Best fitness:	134.67074829931974	Average fitness:	317.4393197278912	Fitness standard deviation:	56.94219661289895	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	944	Best fitness:	134.67074829931974	Average fitness:	316.7284625850341	Fitness standard deviation:	51.229927315336816	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	960	Best fitness:	134.67074829931974	Average fitness:	309.67189115646266	Fitness standard deviation:	49.77519453031411	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	976	Best fitness:	134.67074829931974	Average fitness:	326.1038911564627	Fitness standard deviation:	43.327234159571816	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	992	Best fitness:	134.67074829931974	Average fitness:	321.4027482993197	Fitness standard deviation:	49.55961452964027	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A17	A6	A14	A13	
Generation:	1008	Best fitness:	131.67074829931974	Average fitness:	300.6084625850341	Fitness standard deviation:	56.480126232731685	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A14	A6	A17	A13	
Generation:	1024	Best fitness:	131.67074829931974	Average fitness:	319.43931972789125	Fitness standard deviation:	48.39297916695211	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A14	A6	A17	A13	
Generation:	1040	Best fitness:	131.67074829931974	Average fitness:	329.79760544217703	Fitness standard deviation:	49.97575254019877	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A14	A6	A17	A13	
Generation:	1056	Best fitness:	131.67074829931974	Average fitness:	320.93817687074846	Fitness standard deviation:	58.84797009243394	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A14	A6	A17	A13	
Generation:	1072	Best fitness:	125.67074829931973	Average fitness:	327.6141768707482	Fitness standard deviation:	54.05272693832743	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1088	Best fitness:	125.67074829931973	Average fitness:	315.1901768707483	Fitness standard deviation:	53.16567304076524	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1104	Best fitness:	125.67074829931973	Average fitness:	312.63989115646257	Fitness standard deviation:	55.85919056239281	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1120	Best fitness:	125.67074829931973	Average fitness:	321.06389115646266	Fitness standard deviation:	45.604355882180506	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1136	Best fitness:	125.67074829931973	Average fitness:	320.96217687074846	Fitness standard deviation:	47.35895820696418	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1152	Best fitness:	125.67074829931973	Average fitness:	325.53131972789123	Fitness standard deviation:	49.0982224675129	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1168	Best fitness:	125.67074829931973	Average fitness:	324.4776054421769	Fitness standard deviation:	63.26806553265951	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1184	Best fitness:	125.67074829931973	Average fitness:	328.46674829931965	Fitness standard deviation:	48.013080534031005	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1200	Best fitness:	125.67074829931973	Average fitness:	319.6301768707483	Fitness standard deviation:	52.95078102447632	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1216	Best fitness:	125.67074829931973	Average fitness:	312.7033197278912	Fitness standard deviation:	47.81593176901164	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1232	Best fitness:	125.67074829931973	Average fitness:	322.54389115646256	Fitness standard deviation:	50.76509813738135	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1248	Best fitness:	125.67074829931973	Average fitness:	324.2101768707482	Fitness standard deviation:	55.37367993064236	Best genome:	A9	A11	N12	E3	N6	A12	E4	N3	N5	A7	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1264	Best fitness:	123.67074829931973	Average fitness:	317.75189115646265	Fitness standard deviation:	49.70240822318043	Best genome:	A9	A11	N12	E3	N6	A7	A12	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
Generation:	1280	Best fitness:	123.67074829931973	Average fitness:	316.36331972789117	Fitness standard deviation:	52.74013351890416	Best genome:	A9	A11	N12	E3	N6	A7	A12	E4	N3	N5	N7	A10	A8	N9	A16	E5	A15	A6	A14	A17	A13	
