Generation:	896	Best fitness:	114.75646258503401	Average fitness:	270.82503401360543	Fitness standard deviation:	60.76215282827404	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	912	Best fitness:	114.75646258503401	Average fitness:	269.67931972789114	Fitness standard deviation:	57.00190050537341	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	928	Best fitness:	114.75646258503401	Average fitness:	266.4878911564626	Fitness standard deviation:	52.06538620634948	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	944	Best fitness:	114.75646258503401	Average fitness:	269.19646258503406	Fitness standard deviation:	57.36855172069984	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	960	Best fitness:	114.75646258503401	Average fitness:	273.79646258503396	Fitness standard deviation:	55.36825687510629	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	976	Best fitness:	114.75646258503401	Average fitness:	271.366462585034	Fitness standard deviation:	63.24655045848714	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	992	Best fitness:	114.75646258503401	Average fitness:	262.2550340136054	Fitness standard deviation:	63.13536831802806	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1008	Best fitness:	114.75646258503401	Average fitness:	257.9921768707482	Fitness standard deviation:	58.607714805253046	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1024	Best fitness:	114.75646258503401	Average fitness:	270.7378911564625	Fitness standard deviation:	60.64235555909007	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1040	Best fitness:	114.75646258503401	Average fitness:	279.05646258503396	Fitness standard deviation:	61.009040146455646	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1056	Best fitness:	114.75646258503401	Average fitness:	265.526462585034	Fitness standard deviation:	60.97724532101115	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1072	Best fitness:	114.75646258503401	Average fitness:	266.9593197278911	Fitness standard deviation:	44.203650140167	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1088	Best fitness:	114.75646258503401	Average fitness:	259.8878911564625	Fitness standard deviation:	52.71110513052855	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1104	Best fitness:	114.75646258503401	Average fitness:	277.9650340136054	Fitness standard deviation:	62.124299429384614	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1120	Best fitness:	114.75646258503401	Average fitness:	260.6750340136054	Fitness standard deviation:	59.25123560237511	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1136	Best fitness:	114.75646258503401	Average fitness:	277.0978911564626	Fitness standard deviation:	56.838239122360335	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
Generation:	1152	Best fitness:	114.75646258503401	Average fitness:	274.6607482993197	Fitness standard deviation:	50.85202243484802	Best genome:	A9	N3	E4	N6	N7	A10	A15	A6	A14	A12	A11	N12	E3	N5	A7	A17	N9	A13	A16	E5	A8	
