Generation:	1008	Best fitness:	125.8421768707483	Average fitness:	314.21189115646257	Fitness standard deviation:	56.43877387985342	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1024	Best fitness:	125.8421768707483	Average fitness:	305.4324625850341	Fitness standard deviation:	51.88563707042712	Best genome:	N3	E4	N5	A11	N6	E3	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1040	Best fitness:	122.8421768707483	Average fitness:	319.5067482993198	Fitness standard deviation:	49.76316966412417	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1056	Best fitness:	122.8421768707483	Average fitness:	318.64846258503405	Fitness standard deviation:	45.56000512085402	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1072	Best fitness:	122.8421768707483	Average fitness:	316.53189115646273	Fitness standard deviation:	47.65961864415328	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1088	Best fitness:	122.8421768707483	Average fitness:	319.65646258503403	Fitness standard deviation:	42.19737306844529	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1104	Best fitness:	122.8421768707483	Average fitness:	318.0490340136055	Fitness standard deviation:	43.49336991368891	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1120	Best fitness:	122.8421768707483	Average fitness:	319.04389115646256	Fitness standard deviation:	44.89268233992562	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1136	Best fitness:	122.8421768707483	Average fitness:	321.3187482993198	Fitness standard deviation:	52.408459027457134	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1152	Best fitness:	122.8421768707483	Average fitness:	314.23360544217684	Fitness standard deviation:	45.2476964347696	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1168	Best fitness:	122.8421768707483	Average fitness:	322.964462585034	Fitness standard deviation:	47.20543795723851	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1184	Best fitness:	122.8421768707483	Average fitness:	309.41531972789124	Fitness standard deviation:	49.36972464321569	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1200	Best fitness:	122.8421768707483	Average fitness:	310.97874829931976	Fitness standard deviation:	48.457711010820184	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1216	Best fitness:	122.8421768707483	Average fitness:	321.5976054421768	Fitness standard deviation:	52.553120153588885	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1232	Best fitness:	122.8421768707483	Average fitness:	323.91474829931974	Fitness standard deviation:	52.8481599193117	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1248	Best fitness:	122.8421768707483	Average fitness:	317.21589115646265	Fitness standard deviation:	48.88402329545943	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1264	Best fitness:	122.8421768707483	Average fitness:	322.9798911564626	Fitness standard deviation:	53.990314381566705	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1280	Best fitness:	122.8421768707483	Average fitness:	315.15074829931973	Fitness standard deviation:	46.82590666173884	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1296	Best fitness:	122.8421768707483	Average fitness:	320.63531972789116	Fitness standard deviation:	45.29262373968294	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1312	Best fitness:	122.8421768707483	Average fitness:	319.16046258503394	Fitness standard deviation:	60.79811302388674	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1328	Best fitness:	122.8421768707483	Average fitness:	322.6301768707483	Fitness standard deviation:	51.59266395881635	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1344	Best fitness:	122.8421768707483	Average fitness:	327.83703401360543	Fitness standard deviation:	54.27872817904538	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1360	Best fitness:	122.8421768707483	Average fitness:	319.7410340136055	Fitness standard deviation:	47.93747397327873	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
Generation:	1376	Best fitness:	122.8421768707483	Average fitness:	319.17817687074836	Fitness standard deviation:	43.15239007640392	Best genome:	N3	E4	N5	A11	E3	N6	A6	N7	A10	A8	A9	A7	A12	A16	E5	N12	A15	A14	A17	N9	A13	
