Generation:	752	Best fitness:	148.7278911564626	Average fitness:	292.7764625850339	Fitness standard deviation:	55.657965012994815	Best genome:	N6	N7	A6	A12	A14	A10	E4	N5	N3	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	768	Best fitness:	143.7278911564626	Average fitness:	277.49074829931976	Fitness standard deviation:	43.12662334123002	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	784	Best fitness:	143.7278911564626	Average fitness:	277.1393197278912	Fitness standard deviation:	45.78248698231361	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	800	Best fitness:	143.7278911564626	Average fitness:	272.83931972789117	Fitness standard deviation:	45.441518280901114	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	816	Best fitness:	143.7278911564626	Average fitness:	288.32503401360543	Fitness standard deviation:	61.672718077785746	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	832	Best fitness:	143.7278911564626	Average fitness:	272.6378911564626	Fitness standard deviation:	53.22094437726714	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	848	Best fitness:	143.7278911564626	Average fitness:	273.21646258503404	Fitness standard deviation:	50.206740664608624	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	864	Best fitness:	143.7278911564626	Average fitness:	273.60789115646264	Fitness standard deviation:	36.24903500474888	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	880	Best fitness:	143.7278911564626	Average fitness:	288.0521768707483	Fitness standard deviation:	46.978620647685936	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	896	Best fitness:	143.7278911564626	Average fitness:	266.9178911564626	Fitness standard deviation:	56.22797348331893	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	912	Best fitness:	143.7278911564626	Average fitness:	261.56789115646257	Fitness standard deviation:	51.66455177589448	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	928	Best fitness:	143.7278911564626	Average fitness:	263.7336054421769	Fitness standard deviation:	58.94850509606858	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	944	Best fitness:	143.7278911564626	Average fitness:	271.41503401360546	Fitness standard deviation:	55.24199413785251	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	960	Best fitness:	143.7278911564626	Average fitness:	280.10217687074834	Fitness standard deviation:	45.85804796614555	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
Generation:	976	Best fitness:	143.7278911564626	Average fitness:	286.80789115646263	Fitness standard deviation:	41.971003207024744	Best genome:	N6	N7	A6	A12	A14	A10	E4	N3	N5	A7	A16	E5	N12	E3	A8	N9	A9	A11	A15	A17	A13	
