Generation:	880	Best fitness:	135.556462585034	Average fitness:	288.0236054421768	Fitness standard deviation:	45.3051929942352	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	896	Best fitness:	135.556462585034	Average fitness:	275.96074829931973	Fitness standard deviation:	58.01916732900448	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	912	Best fitness:	135.556462585034	Average fitness:	292.8107482993197	Fitness standard deviation:	61.95946265297093	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	928	Best fitness:	135.556462585034	Average fitness:	284.40217687074824	Fitness standard deviation:	61.08215638442564	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	944	Best fitness:	135.556462585034	Average fitness:	278.33217687074824	Fitness standard deviation:	47.85359327987731	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	960	Best fitness:	135.556462585034	Average fitness:	278.5736054421768	Fitness standard deviation:	55.30300386719237	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	976	Best fitness:	135.556462585034	Average fitness:	275.61217687074827	Fitness standard deviation:	61.98983818962194	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	992	Best fitness:	135.556462585034	Average fitness:	280.386462585034	Fitness standard deviation:	57.408372762736505	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1008	Best fitness:	135.556462585034	Average fitness:	284.70789115646255	Fitness standard deviation:	48.457616321810924	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1024	Best fitness:	135.556462585034	Average fitness:	268.4107482993198	Fitness standard deviation:	52.772228240518594	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1040	Best fitness:	135.556462585034	Average fitness:	256.9078911564626	Fitness standard deviation:	46.39792843721911	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1056	Best fitness:	135.556462585034	Average fitness:	285.8107482993197	Fitness standard deviation:	61.75409159376752	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1072	Best fitness:	135.556462585034	Average fitness:	273.3507482993197	Fitness standard deviation:	57.970355971208	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1088	Best fitness:	135.556462585034	Average fitness:	283.666462585034	Fitness standard deviation:	71.12718144855965	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1104	Best fitness:	135.556462585034	Average fitness:	271.916462585034	Fitness standard deviation:	60.05513004646614	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1120	Best fitness:	135.556462585034	Average fitness:	267.88074829931975	Fitness standard deviation:	45.32351669173656	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1136	Best fitness:	135.556462585034	Average fitness:	276.84789115646254	Fitness standard deviation:	44.03751610263454	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1152	Best fitness:	135.556462585034	Average fitness:	275.49074829931976	Fitness standard deviation:	72.23134154950202	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1168	Best fitness:	135.556462585034	Average fitness:	254.46217687074832	Fitness standard deviation:	45.04991435811471	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1184	Best fitness:	135.556462585034	Average fitness:	270.9878911564626	Fitness standard deviation:	44.11860165785968	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1200	Best fitness:	135.556462585034	Average fitness:	250.6721768707483	Fitness standard deviation:	58.3088227825405	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1216	Best fitness:	135.556462585034	Average fitness:	284.3964625850341	Fitness standard deviation:	48.49754498309946	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1232	Best fitness:	135.556462585034	Average fitness:	270.8636054421769	Fitness standard deviation:	47.589935374820506	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1248	Best fitness:	135.556462585034	Average fitness:	275.1550340136055	Fitness standard deviation:	60.8210701105115	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1264	Best fitness:	135.556462585034	Average fitness:	284.1336054421769	Fitness standard deviation:	63.01120315030478	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1280	Best fitness:	135.556462585034	Average fitness:	288.6836054421768	Fitness standard deviation:	61.45383432350844	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1296	Best fitness:	135.556462585034	Average fitness:	278.8193197278912	Fitness standard deviation:	50.584519371048685	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1312	Best fitness:	135.556462585034	Average fitness:	261.29931972789115	Fitness standard deviation:	58.32126716800341	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1328	Best fitness:	135.556462585034	Average fitness:	273.2036054421768	Fitness standard deviation:	63.539127122665164	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1344	Best fitness:	135.556462585034	Average fitness:	293.7593197278911	Fitness standard deviation:	51.84178355775367	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1360	Best fitness:	135.556462585034	Average fitness:	282.56789115646257	Fitness standard deviation:	49.68513792485883	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1376	Best fitness:	135.556462585034	Average fitness:	276.7950340136054	Fitness standard deviation:	46.16594316336736	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1392	Best fitness:	135.556462585034	Average fitness:	275.59360544217685	Fitness standard deviation:	47.99377859341219	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	N9	A13	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1408	Best fitness:	131.58503401360545	Average fitness:	275.23931972789126	Fitness standard deviation:	62.2221850979805	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1424	Best fitness:	131.58503401360545	Average fitness:	263.4278911564626	Fitness standard deviation:	61.43311046353172	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1440	Best fitness:	131.58503401360545	Average fitness:	262.19217687074837	Fitness standard deviation:	55.00912345479889	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1456	Best fitness:	131.58503401360545	Average fitness:	273.26217687074825	Fitness standard deviation:	53.36866167499042	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1472	Best fitness:	131.58503401360545	Average fitness:	276.9750340136055	Fitness standard deviation:	53.01201810217477	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1488	Best fitness:	131.58503401360545	Average fitness:	284.02360544217686	Fitness standard deviation:	56.42538238728224	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
Generation:	1504	Best fitness:	131.58503401360545	Average fitness:	266.7593197278912	Fitness standard deviation:	63.00074758221817	Best genome:	A16	E5	N6	E4	N3	A11	E3	N12	A8	A13	N9	A15	A14	A17	N7	A10	A6	A12	A9	N5	A7	
