Generation:	784	Best fitness:	170.52789115646257	Average fitness:	324.1856054421769	Fitness standard deviation:	49.60250338975455	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	800	Best fitness:	170.52789115646257	Average fitness:	330.46846258503416	Fitness standard deviation:	45.779317971756456	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	816	Best fitness:	170.52789115646257	Average fitness:	329.0461768707484	Fitness standard deviation:	47.15244128031843	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	832	Best fitness:	170.52789115646257	Average fitness:	333.01360544217687	Fitness standard deviation:	42.038843845147966	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	848	Best fitness:	170.52789115646257	Average fitness:	324.89589115646254	Fitness standard deviation:	46.85531133702769	Best genome:	A9	N6	E3	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	N12	A10	A6	A14	A16	E5	A8	
Generation:	864	Best fitness:	170.49931972789116	Average fitness:	314.1633197278911	Fitness standard deviation:	44.407362713672526	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	880	Best fitness:	170.49931972789116	Average fitness:	335.37074829931976	Fitness standard deviation:	43.593594455504814	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	896	Best fitness:	170.49931972789116	Average fitness:	325.4518911564626	Fitness standard deviation:	42.959627790733556	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	912	Best fitness:	170.49931972789116	Average fitness:	326.316462585034	Fitness standard deviation:	50.57256754165347	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	928	Best fitness:	170.49931972789116	Average fitness:	333.348462585034	Fitness standard deviation:	57.06594568048586	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	944	Best fitness:	170.49931972789116	Average fitness:	323.29989115646254	Fitness standard deviation:	43.433787464956595	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	960	Best fitness:	170.49931972789116	Average fitness:	322.09646258503403	Fitness standard deviation:	47.47188392370063	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	976	Best fitness:	170.49931972789116	Average fitness:	320.5147482993197	Fitness standard deviation:	49.20686370242033	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	992	Best fitness:	170.49931972789116	Average fitness:	321.84960544217677	Fitness standard deviation:	43.439984519108755	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1008	Best fitness:	170.49931972789116	Average fitness:	327.46960544217694	Fitness standard deviation:	43.30230929789556	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1024	Best fitness:	170.49931972789116	Average fitness:	319.5896054421769	Fitness standard deviation:	47.05337702339889	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1040	Best fitness:	170.49931972789116	Average fitness:	319.028462585034	Fitness standard deviation:	45.63226901200151	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1056	Best fitness:	170.49931972789116	Average fitness:	339.89417687074825	Fitness standard deviation:	48.12867300671976	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1072	Best fitness:	170.49931972789116	Average fitness:	321.82274829931976	Fitness standard deviation:	52.906035283976706	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1088	Best fitness:	170.49931972789116	Average fitness:	319.6181768707483	Fitness standard deviation:	43.368041411121325	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1104	Best fitness:	170.49931972789116	Average fitness:	331.113605442177	Fitness standard deviation:	45.129061997062315	Best genome:	A9	N6	A15	A12	N7	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
Generation:	1120	Best fitness:	169.49931972789116	Average fitness:	318.84731972789115	Fitness standard deviation:	47.03625442883263	Best genome:	A9	N6	N7	A15	A12	N3	A7	N9	A13	A17	N5	E4	A11	A10	N12	E3	A6	A14	A16	E5	A8	
