Generation:	640	Best fitness:	148.8421768707483	Average fitness:	279.286462585034	Fitness standard deviation:	60.88337226507207	Best genome:	A9	N3	A7	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	
Generation:	656	Best fitness:	148.8421768707483	Average fitness:	268.2907482993198	Fitness standard deviation:	59.18168366676174	Best genome:	A9	N3	A7	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	
Generation:	672	Best fitness:	148.8421768707483	Average fitness:	273.8007482993198	Fitness standard deviation:	54.42638576413961	Best genome:	A9	N3	A7	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	
Generation:	688	Best fitness:	148.8421768707483	Average fitness:	261.66503401360546	Fitness standard deviation:	53.75507919048683	Best genome:	A9	N3	A7	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	
Generation:	704	Best fitness:	148.756462585034	Average fitness:	264.3750340136054	Fitness standard deviation:	53.58618103540487	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	720	Best fitness:	148.756462585034	Average fitness:	265.10789115646253	Fitness standard deviation:	42.68870337593269	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	736	Best fitness:	148.756462585034	Average fitness:	264.436462585034	Fitness standard deviation:	49.8163046827532	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	752	Best fitness:	148.756462585034	Average fitness:	287.016462585034	Fitness standard deviation:	59.41274370272522	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	768	Best fitness:	148.756462585034	Average fitness:	288.87931972789113	Fitness standard deviation:	68.34135873894895	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
Generation:	784	Best fitness:	148.756462585034	Average fitness:	262.7293197278912	Fitness standard deviation:	55.03116851533561	Best genome:	A13	A17	N5	E4	A11	N6	N7	A10	N12	E3	A15	A6	A14	A12	E5	A8	N9	A16	A9	N3	A7	
