Generation:	1136	Best fitness:	108.75646258503401	Average fitness:	249.0021768707483	Fitness standard deviation:	63.75228937065712	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1152	Best fitness:	108.75646258503401	Average fitness:	248.85931972789118	Fitness standard deviation:	55.416620508394665	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1168	Best fitness:	108.75646258503401	Average fitness:	256.67503401360534	Fitness standard deviation:	57.75823240200554	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1184	Best fitness:	108.75646258503401	Average fitness:	265.776462585034	Fitness standard deviation:	67.58362565846004	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1200	Best fitness:	108.75646258503401	Average fitness:	270.3993197278911	Fitness standard deviation:	65.83801240583604	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1216	Best fitness:	108.75646258503401	Average fitness:	267.536462585034	Fitness standard deviation:	65.05639255480507	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1232	Best fitness:	108.75646258503401	Average fitness:	276.4593197278911	Fitness standard deviation:	67.32693514425239	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1248	Best fitness:	108.75646258503401	Average fitness:	265.1321768707482	Fitness standard deviation:	72.3448703595973	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1264	Best fitness:	108.75646258503401	Average fitness:	281.2207482993197	Fitness standard deviation:	78.38142995138894	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1280	Best fitness:	108.75646258503401	Average fitness:	258.7750340136055	Fitness standard deviation:	49.28530788652322	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1296	Best fitness:	108.75646258503401	Average fitness:	264.5521768707483	Fitness standard deviation:	50.59529321901759	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1312	Best fitness:	108.75646258503401	Average fitness:	267.06503401360544	Fitness standard deviation:	75.28613532004796	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1328	Best fitness:	108.75646258503401	Average fitness:	252.96360544217686	Fitness standard deviation:	62.773234823482554	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1344	Best fitness:	108.75646258503401	Average fitness:	265.8193197278912	Fitness standard deviation:	75.15073158088921	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1360	Best fitness:	108.75646258503401	Average fitness:	253.67217687074827	Fitness standard deviation:	71.19191508499675	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1376	Best fitness:	108.75646258503401	Average fitness:	256.6578911564626	Fitness standard deviation:	49.79760380678933	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1392	Best fitness:	108.75646258503401	Average fitness:	273.89789115646255	Fitness standard deviation:	64.13327861984457	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1408	Best fitness:	108.75646258503401	Average fitness:	269.4750340136054	Fitness standard deviation:	75.4615081092503	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1424	Best fitness:	108.75646258503401	Average fitness:	270.35789115646253	Fitness standard deviation:	60.2053299389782	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1440	Best fitness:	108.75646258503401	Average fitness:	269.8407482993197	Fitness standard deviation:	50.23873249652247	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1456	Best fitness:	108.75646258503401	Average fitness:	263.3850340136054	Fitness standard deviation:	61.46069525497161	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1472	Best fitness:	108.75646258503401	Average fitness:	237.49646258503398	Fitness standard deviation:	61.18319223647045	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1488	Best fitness:	108.75646258503401	Average fitness:	261.4178911564626	Fitness standard deviation:	69.85476786789539	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
Generation:	1504	Best fitness:	108.75646258503401	Average fitness:	261.416462585034	Fitness standard deviation:	48.35218071185453	Best genome:	A9	A11	A15	A10	N12	N6	E3	N7	A6	A12	N3	E4	N5	A7	A14	A17	N9	A13	A16	E5	A8	
