Generation:	576	Best fitness:	165.7278911564626	Average fitness:	274.7036054421769	Fitness standard deviation:	49.331182567108485	Best genome:	A9	E4	A10	E3	A6	A12	N6	A11	N12	N7	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	592	Best fitness:	165.7278911564626	Average fitness:	294.82074829931975	Fitness standard deviation:	51.51033173558684	Best genome:	A9	E4	A10	E3	A6	A12	N6	A11	N12	N7	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	608	Best fitness:	157.7278911564626	Average fitness:	282.756462585034	Fitness standard deviation:	57.74412877655411	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	624	Best fitness:	157.7278911564626	Average fitness:	287.2350340136055	Fitness standard deviation:	51.91958371818275	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	640	Best fitness:	157.7278911564626	Average fitness:	292.0250340136055	Fitness standard deviation:	45.1479241279289	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	656	Best fitness:	157.7278911564626	Average fitness:	287.7136054421769	Fitness standard deviation:	63.47429722465043	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	672	Best fitness:	157.7278911564626	Average fitness:	292.6878911564626	Fitness standard deviation:	59.830459378043855	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	688	Best fitness:	157.7278911564626	Average fitness:	287.9436054421768	Fitness standard deviation:	52.768782882863384	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	704	Best fitness:	157.7278911564626	Average fitness:	282.266462585034	Fitness standard deviation:	52.23943484630385	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	720	Best fitness:	157.7278911564626	Average fitness:	302.33074829931974	Fitness standard deviation:	51.487504249842516	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
Generation:	736	Best fitness:	157.7278911564626	Average fitness:	276.936462585034	Fitness standard deviation:	37.7778199692975	Best genome:	A9	E4	A10	E3	N6	A6	A12	N7	A11	N12	N5	N3	A7	A14	A17	N9	A13	E5	A15	A8	A16	
