"id","length","mandatory","start","slutt","fart","enveiskjørt","sperret"
146138524,23.7531050935679,f,8519,6293,30,,f
587955094,86.0098049192509,f,3843,5710,40,-1,f
146150159,148.91196606142,f,11625,9750,30,,f
146133566,52.0897668986594,t,10250,11004,40,,f
146194171,49.3494494138074,f,3839,11022,40,1,f
146135184,43.9889581433652,t,6875,2801,40,,f
255034985,4.62127687871313,f,8263,21602,50,,f
146181218,134.72814325089,f,154,327,50,,f
146190760,7.52639608796824,t,3459,11671,40,,f
146149144,63.4577548128249,f,8524,9750,30,,f
523405426,29.7210657550277,f,7564,20487,50,1,f
522201209,6.89566635896585,f,3801,138,50,1,f
146139245,7.30135110355248,f,10300,3839,40,,f
146133564,78.5426786280674,t,6876,6872,40,-1,f
146133537,36.9392869380681,f,3246,9422,40,,f
146136062,70.2639332267664,f,3549,22835,40,,f
146137612,78.7745928554796,f,6893,12055,40,,f
146138694,43.7865742464126,t,6908,1403,40,1,f
146134508,11.1429015998526,f,11775,827,40,,f
564309437,9.50959832850417,f,10677,21663,50,1,f
146138342,8.81081721445168,f,3828,914,40,,f
240551660,54.4494070522412,f,3841,20686,30,,f
146181578,6.08793323691897,f,6685,6684,50,1,f
218464313,58.194355884437,f,5485,20675,50,1,f
202478940,10.7074740234492,f,8140,21575,40,,f
200425238,57.5696598550174,t,7773,20058,40,-1,f
200425257,53.5582151811976,f,292,20056,40,,f
255034993,13.2313995555431,f,153,20035,50,,f
523405421,6.22691737841886,f,111,20648,50,-1,f
146135198,79.2317573922393,t,6885,12050,40,1,f
146149124,35.0737436400325,f,3832,11020,30,,f
146132707,63.1061735801919,f,299,289,30,,t
522201224,70.1516674531137,f,11152,5620,50,,f
146133808,76.9414152992324,t,174,9739,40,,f
480919625,24.3111443799146,f,6910,8530,40,,f
146193296,11.4744016982139,f,9649,429,50,1,f
445524724,3.83024802924991,f,147,326,50,,f
146135191,20.0210202049433,t,10528,12051,40,1,f
146135182,6.80829914612755,f,6881,6875,40,,f
146133819,33.9752138561453,t,9449,20057,40,,f
146138525,24.4136288524894,f,6293,21185,30,,f
587955088,12.7444545268074,f,11426,9657,40,,f
146133561,50.9185543423809,t,6884,6907,40,,f
146150209,42.0146578229503,f,10113,23164,30,,f
146136070,16.6242214659436,f,11009,20416,30,,f
146136916,50.6887046224124,f,11016,9653,40,,f
146194453,6.0908209607042,f,10163,21847,50,,f
146136057,25.7467650034619,t,9584,6894,40,,f
255034990,56.9331738008701,f,152,20030,50,,f
146194452,7.01233387228097,f,431,21847,50,-1,f
146139247,6.40768096154588,f,11022,525,40,,f
146133814,32.1717087220528,t,2827,22152,40,,f
146193281,24.7256852920624,f,9456,7601,50,1,f
146138155,8.71707110618629,f,11550,6912,40,,f
